long_code,code,d18O,d2H,source,amnt,date_time_start,date_time_end
JDB 170608 0800,UCT,-5.08,-20.5,rain mean,48,2017/06/06 00:00,2017/06/08 23:59
SKG 170606-170608,SKG,-5.99,-22.48,rain mean,,2017/06/06 00:00,2017/06/08 23:59
